candidate_local_radius,candidate_sparse_review,candidate_tier,distance_km,dst,dst_local_degree,dst_rank,dst_sampling_sparse,marine_sample_count,marine_sample_hits,salishseacast_detour_ratio,salishseacast_dst_snap_km,salishseacast_route_found,salishseacast_src_snap_km,salishseacast_total_detour_ratio,salishseacast_total_route_proxy_km,salishseacast_water_route_km,sparse_review_requested_by,src,src_local_degree,src_rank,src_sampling_sparse,straight_marine_all,straight_marine_fraction,straight_marine_none,straight_marine_pattern,v0_edge_status,v0_primary
True,False,local_radius,14.173195691771301,128,4,4,False,5,0,7.637148756061089,1.1061515545622276,True,3.8067501100148102,7.9837820610276875,113.15570551139862,108.24280384682159,,108,6,4,False,False,0.0,True,00000,primary_local_curved_water_route_audited,True
True,False,local_radius,6.830659201403384,133,8,1,False,5,4,2.339516606564316,5.578784588862833,True,3.8067501100148102,3.713547197484348,25.36597533434221,15.980440635464564,,108,6,1,False,False,0.8,False,01111,primary_local_curved_water_route_audited,True
True,False,local_radius,14.215263041947653,153,6,5,False,5,2,1.571753264310105,0.5904815781501394,True,3.8067501100148102,1.8810849787630288,26.74011777737297,22.34288608920802,,108,6,5,False,False,0.4,False,00011,primary_local_curved_water_route_audited,True
True,False,local_radius,18.03720008589904,161,5,5,False,5,1,6.1021311750227545,0.4451683528862212,True,3.8067501100148102,6.33786168988382,114.31727941718867,110.06536095428764,,108,6,6,False,False,0.2,False,00010,primary_local_curved_water_route_audited,True
True,False,local_radius,11.231612536841793,553,5,2,False,5,2,1.8313138507742137,1.3605174503765254,True,3.8067501100148102,2.2913784713655785,25.735875165639015,20.568607605247678,,108,6,2,False,False,0.4,False,00101,primary_local_curved_water_route_audited,True
True,False,local_radius,13.709423590630731,97,5,3,False,5,2,1.4321208796700957,0.5818949757322156,True,3.8067501100148102,1.7522397421980802,24.02219685813107,19.633551772384045,,108,6,3,False,False,0.4,False,01001,primary_local_curved_water_route_audited,True
True,False,local_radius,11.727707349855446,133,8,3,False,5,0,9.203252904084959,5.578784588862833,True,1.1061515545622276,9.773265093509814,114.61799286924071,107.93305672581565,,128,4,3,False,False,0.0,True,00000,primary_local_curved_water_route_audited,True
True,False,local_radius,6.980284186576826,138,3,1,False,5,3,1.4298838187228367,1.0019197342202328,True,1.1061515545622276,1.7318874667743456,12.089066697255562,9.980995408473103,,128,4,1,False,False,0.6,False,01110,primary_local_curved_water_route_audited,True
True,False,local_radius,8.265616352930266,161,5,1,False,5,3,1.0768950383280267,0.4451683528862212,True,1.1061515545622276,1.264578550507791,10.45252114664205,8.901201239193602,,128,4,2,False,False,0.6,False,01110,primary_local_curved_water_route_audited,True
True,False,local_radius,18.56137543510937,138,3,3,False,5,1,6.129274924392736,1.0019197342202328,True,5.578784588862833,6.483812461014914,120.34847733973824,113.76777301665517,,133,8,7,False,False,0.2,False,00001,primary_local_curved_water_route_audited,True
True,False,local_radius,9.648379531347805,153,6,2,False,5,1,0.753498360837288,0.5904815781501394,True,5.578784588862833,1.3929079266580444,13.439304328619585,7.270038161606613,,133,8,2,False,False,0.2,False,00001,primary_local_curved_water_route_audited,True
True,False,local_radius,12.506338663724282,161,5,3,False,5,2,8.775998858213985,0.4451683528862212,True,5.578784588862833,9.257670841015958,115.77956677503077,109.75561383328171,,133,8,4,False,False,0.4,False,00110,primary_local_curved_water_route_audited,True
True,False,local_radius,17.84748613067476,173,4,4,False,5,1,2.0506761053485603,0.48080687157945445,True,5.578784588862833,2.390196832025443,42.65900480915685,36.59941334871456,,133,8,6,False,False,0.2,False,00001,primary_local_curved_water_route_audited,True
True,False,local_radius,13.70061324679611,553,5,4,False,5,0,1.4786827508600224,1.3605174503765254,True,5.578784588862833,1.9851784758497135,27.198162523481095,20.258860484241733,,133,8,5,False,False,0.0,True,00000,primary_local_curved_water_route_audited,True
True,False,local_radius,19.174920257071665,97,5,5,False,5,0,1.0077645378604132,0.5818949757322156,True,5.578784588862833,1.3290529438616325,25.48448421597315,19.3238046513781,,133,8,8,False,False,0.0,True,00000,primary_local_curved_water_route_audited,True
True,False,local_radius,10.812508896359398,161,5,2,False,5,4,1.1379032134639993,0.4451683528862212,True,1.0019197342202328,1.271737839726706,13.750676705881892,12.30358861877544,,138,3,2,False,False,0.8,False,01111,primary_local_curved_water_route_audited,True
True,False,local_radius,17.78642235989032,161,5,4,False,5,1,6.528466317592899,0.4451683528862212,True,0.5904815781501394,6.586693312886333,117.15370921806152,116.11805928702516,,153,6,6,False,False,0.2,False,00001,primary_local_curved_water_route_audited,True
True,False,local_radius,8.202569148522528,173,4,2,False,5,4,5.237610073692146,0.48080687157945445,True,0.5904815781501394,5.368214086938722,44.0331472521876,42.961858802458,,153,6,1,False,False,0.8,False,10111,primary_local_curved_water_route_audited,True
True,False,local_radius,11.791860401071393,177,2,2,False,5,1,4.222842977771425,0.7380053699511658,True,0.5904815781501394,4.335504330850249,51.12366183762657,49.79517488952526,,153,6,3,False,False,0.2,False,00100,primary_local_curved_water_route_audited,True
True,False,local_radius,12.767208132554,553,5,3,False,5,1,2.0851313506909794,1.3605174503765254,True,0.5904815781501394,2.2379446367493454,28.572304966511847,26.62130593798518,,153,6,4,False,False,0.2,False,10000,primary_local_curved_water_route_audited,True
True,False,local_radius,5.517033229552173,177,2,1,False,5,0,1.67999849344878,0.7380053699511658,True,0.48080687157945445,1.9009165468333442,10.48741975548513,9.268607513954509,,173,4,1,False,False,0.0,True,00000,primary_local_curved_water_route_audited,True
True,False,local_radius,16.745922700541264,553,5,5,False,5,4,1.049633288038058,1.3605174503765254,True,0.48080687157945445,1.1595898640287299,19.418402227356264,17.577077905400284,,173,4,3,False,False,0.8,False,11101,primary_local_curved_water_route_audited,True
True,False,local_radius,12.725116774388445,201,4,3,False,5,1,3.904498314941405,0.39874777891165647,True,1.3934084475216306,4.0453344469948505,51.47735322946558,49.68519700303229,,198,3,2,False,False,0.2,False,10000,primary_local_curved_water_route_audited,True
True,False,local_radius,10.719524742686849,204,5,2,False,5,1,3.415911044465283,0.24740786586166075,True,1.3934084475216306,3.568979053800557,38.25775927334617,36.61694295996288,,198,3,1,False,False,0.2,False,01000,primary_local_curved_water_route_audited,True
True,False,local_radius,15.648503627488047,207,4,4,False,5,1,1.501339441315537,0.1963194150224434,True,1.3934084475216306,1.6029292099213714,25.08344355606113,23.493715693517057,,198,3,3,False,False,0.2,False,00001,primary_local_curved_water_route_audited,True
